ID,label
845,7
846,8
847,9
848,5
849,8
850,3
851,8
852,5
853,6
854,2
855,0
856,9
857,7
858,1
859,8
860,2
861,6
862,9
863,8
864,4
865,9
866,4
867,1
868,3
869,8
870,4
871,0
872,7
873,7
874,3
875,7
876,6
877,6
878,8
879,8
880,2
881,7
882,0
883,4
884,3
885,7
886,7
887,0
888,8
889,4
890,7
891,4
892,0
893,6
894,9
895,8
896,6
897,0
898,1
899,6
900,4
901,5
902,2
903,7
904,3
905,6
906,2
907,2
908,9
909,2
910,7
911,4
912,8
913,7
914,2
915,9
916,5
917,3
918,4
919,8
920,0
921,4
922,4
923,6
924,5
925,6
926,1
927,2
928,2
929,8
930,4
931,5
932,7
933,8
934,0
935,6
936,8
937,9
938,1
939,7
940,7
941,2
942,6
943,3
944,9
945,9
946,1
947,0
948,4
949,2
950,5
951,4
952,4
953,9
954,2
955,6
956,7
957,2
958,8
959,3
960,3
961,2
962,7
963,0
964,4
965,7
966,0
967,7
968,7
969,8
970,1
971,7
972,3
973,7
974,8
975,0
976,1
977,0
978,2
979,9
980,7
981,6
982,2
983,2
984,6
985,9
986,0
987,6
988,8
989,8
990,9
991,6
992,3
993,5
994,0
995,2
996,2
997,5
998,9
999,6
